council_lead,fmp,stock_orig,species,no_cap_text,individual_holdings_cap,catcher_processor_holdings_cap,vessel_holdings_cap,processor_holdings_cap,crew_holdings_cap,catcher_processor_use_cap,cooperative_use_cap,processor_use_cap,individual_vessel_use_cap,individual_vessel_use_cap_text
PFMC,Pacific Coast Groundfish,Minor Shelf Rockfish South,"Sebastes paucispinis, Sebastes gilli, Sebastes pinniger, Sebastes goodei, Sebastes levis, Sebastes ciliatus, Sebastes rubrivinctus, Sebastes rosenblatti, Sebastes chlorostictus, Sebastes elongatus, Sebastes variegatus, Sebastes umbrosus, Sebastes macdonaldi, Sebastes eos, Sebastes proriger, Sebastes helvomaculatus, Sebastes rosaceus, Sebastes jordani, Sebastes brevispinis, Sebastes ovalis, Sebastes hopkinsi, Sebastes constellatus, Sebastes saxicola, Sebastes nigrocinctus, Sebastes miniatus, Sebastes entomelas, Sebastes ruberrimus, Sebastes flavidus",NA,9.00,NA,NA,NA,NA,NA,NA,NA,13.50,NA
PFMC,Pacific Coast Groundfish,Chilipepper - Southern Pacific Coast,Sebastes goodei,NA,10.00,NA,NA,NA,NA,NA,NA,NA,15.00,NA
PFMC,Pacific Coast Groundfish,Other Flatfish,"Isopsetta isolepis, Pleuronichthys decurrens, Hippoglossoides elassodon, Citharichthys sordidus, Glyptocephalus zachirus, Lepidopsetta bilineata, Psettichthys melanostictus",NA,10.00,NA,NA,NA,NA,NA,NA,NA,15.00,NA
PFMC,Pacific Coast Groundfish,Pacific hake - Pacific Coast,Merluccius productus,NA,10.00,NA,NA,NA,NA,NA,NA,NA,15.00,NA
PFMC,Pacific Coast Groundfish,Sablefish - Pacific Coast,Anoplopoma fimbria,NA,10.00,NA,NA,NA,NA,NA,NA,NA,15.00,NA
PFMC,Pacific Coast Groundfish,Splitnose rockfish - Pacific Coast,Sebastes diploproa,NA,10.00,NA,NA,NA,NA,NA,NA,NA,15.00,NA
PFMC,Pacific Coast Groundfish,Bocaccio - Southern Pacific Coast,Sebastes paucispinis,NA,13.20,NA,NA,NA,NA,NA,NA,NA,15.40,NA
PFMC,Pacific Coast Groundfish,Cowcod - Southern California,Sebastes levis,NA,17.70,NA,NA,NA,NA,NA,NA,NA,17.70,NA
PFMC,Pacific Coast Groundfish,Arrowtooth flounder - Pacific Coast,Atheresthes stomias,NA,10.00,NA,NA,NA,NA,NA,NA,NA,20.00,NA
PFMC,Pacific Coast Groundfish,Pacific cod - Pacific Coast,Gadus macrocephalus,NA,12.00,NA,NA,NA,NA,NA,NA,NA,20.00,NA
PFMC,Pacific Coast Groundfish,Starry flounder - Pacific Coast,Platichthys stellatus,NA,10.00,NA,NA,NA,NA,NA,NA,NA,20.00,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Wreckfish - Southern Atlantic Coast,Polyprion americanus,NA,49.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Wreckfish - Southern Atlantic Coast,Polyprion americanus,NA,49.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
