council_lead,fmp,stock,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28
WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Other Tuna Relatives Complex - Pacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Hawaii Archipelago Ecosystem,Precious Coral Complex - 180 Fathom Bank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Hawaii Archipelago Ecosystem,Precious Coral Complex - Brooks Bank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Hawaii Archipelago Ecosystem,Precious Coral Complex - Hawaiian Archipelago Exploratory Area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Hawaii Archipelago Ecosystem,Precious Coral Complex - Kaena Point Bed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Hawaii Archipelago Ecosystem,Precious Coral Complex - Keahole Bed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Hawaii Archipelago Ecosystem,Precious Corals Complex - Westpac Bed Refugium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Hawaii Archipelago Ecosystem,Precious Corals Multi-species Complex - Makapu'u Bed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Pelagic Sargassum Habitat of the South Atlantic Region,Sargassum - Southern Atlantic Coast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMFMC,Coral and Coral Reefs of the Gulf of Mexico,Sea fans (Gorgonia spp.) - Gulf of Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Lemon shark - Atlantic and Gulf of Mexico,Negaprion brevirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,"Coral, Coral Reefs and Live/Hard Bottom Habitats of the South Atlantic Region",Soft corals (Octocorallia) - Southern Atlantic Coast,Octocorallia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for St. Croix in the EEZ,Yellowtail snapper - St. Croix,Ocyurus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,Yellowtail snapper - St. Thomas / St. John,Ocyurus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Pink salmon - Puget Sound,Oncorhynchus gorbuscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Oregon Production Index Area: Central California Coast,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Oregon Production Index Area: Columbia River Early Hatchery,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Oregon Production Index Area: Columbia River Late Hatchery,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Oregon Production Index Area: Lower Columbia Natural,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Oregon Production Index Area: Oregon Coast Hatchery,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Oregon Production Index Area: Oregon Coast Natural,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Oregon Production Index Area: Southern Oregon/Northern California Coast,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Puget Sound: Hood Canal,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Puget Sound: Skagit,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Puget Sound: Snohomish,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Puget Sound: South Puget Sound Hatchery,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Puget Sound: Stillaguamish,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Grays Harbor,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Hoh,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Queets,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Quillayute Fall,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Quillayute Summer Hatchery,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Quinault Hatchery,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Strait of Juan de Fuca,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Willapa Bay Hatchery,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Willapa Bay Natural,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Salmon Fisheries in the EEZ off the Coast of Alaska,Coho Salmon Assemblage - Alaska,Oncorhynchus kisutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - California Central Valley: Sacramento River Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - California Central Valley: Sacramento River Spring,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - California Central Valley: Sacramento River Winter,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Lower River Hatchery Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Lower River Hatchery Spring,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Mid-River Bright Hatchery Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: North Lewis River Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Snake River Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Snake River Spring/Summer,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Spring Creek Hatchery Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Upper River Bright Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Upper River Spring,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Upper River Summer,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Upper Willamette Spring,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Northern California Coast: California Coastal,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Northern California Coast: Klamath River Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Northern California Coast: Klamath River Spring,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Northern California Coast: Smith River,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Oregon Coast: Central and Northern Oregon,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Oregon Coast: Southern Oregon,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Cedar River Summer/Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Eastern Strait of Juan de Fuca Summer/Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Green River Summer/Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Mid Hood Canal Summer/Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Nisqually River Summer/Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Nooksack Spring Early,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Puyallup Summer/Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Skagit Spring,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Skagit Summer/Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Skokomish Summer/Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Snohomish Summer/Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Stillaguamish Summer/Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: White River Spring,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Washington Coast: Grays Harbor Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Washington Coast: Grays Harbor Spring,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Washington Coast: Hoh Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Washington Coast: Hoh Spring/Summer,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Washington Coast: Hoko Summer/Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Washington Coast: Queets Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Washington Coast: Queets Spring/Summer,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Washington Coast: Quillayute Fall,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Washington Coast: Quillayute Spring/Summer,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Washington Coast: Quinault Fall Hatchery,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Washington Coast: Willapa Bay Fall Hatchery,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Salmon,Chinook salmon - Washington Coast: Willapa Bay Fall Natural,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Groundfish,Lingcod - Northern Pacific Coast,Ophiodon elongatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Groundfish,Lingcod - Southern Pacific Coast,Ophiodon elongatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Puerto Rico Fishery Management Plan,Caribbean spiny lobster - Puerto Rico,Panulirus argus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMFMC,Spiny Lobster in the Gulf of Mexico and South Atlantic,Caribbean spiny lobster - Southern Atlantic Coast / Gulf of Mexico,Panulirus argus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,St. Croix Fishery Management Plan,Caribbean spiny lobster - St. Croix,Panulirus argus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,St. Thomas and St. John Fishery Management Plan,Caribbean spiny lobster - St. Thomas / St. John,Panulirus argus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Red king crab - Bristol Bay,Paralithodes camtschaticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Red king crab - Norton Sound,Paralithodes camtschaticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Red king crab - Pribilof Islands,Paralithodes camtschaticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Red king crab - Western Aleutian Islands,Paralithodes camtschaticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Blue king crab - Pribilof Islands,Paralithodes platypus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Blue king crab - Saint Matthew Island,Paralithodes platypus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Groundfish,English sole - Pacific Coast,Parophrys vetulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Scallop Fishery off Alaska,Weathervane scallop - Alaska,Patinopecten caurinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAFMC,"Mackerel, Squid and Butterfish",Butterfish - Gulf of Maine / Cape Hatteras,Peprilus triacanthus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEFMC,Atlantic Sea Scallop,Sea scallop - Northwestern Atlantic Coast,Placopecten magellanicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Groundfish,Starry flounder - Pacific Coast,Platichthys stellatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Atka mackerel - Bering Sea / Aleutian Islands,Pleurogrammus monopterygius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
