council,council_lead,fmp,stock_orig,stock,species,completed_by,QC_by,FSSI_yn,prohibited_yn,allocation_yn,country_list,country_notes,state_list,state_yrs,state_notes,area_list,area_yrs,area_notes,sector_type,sector_list,sector_yrs,sector_basis,sector_notes,subsector_list_rec,subsector_list_comm,subsector_yrs,subsector_notes,rsa_notes,bycatch_notes,effort_alloc_notes,season_list,season_yrs,season_notes,shares_yn,shares_start_yr,shares_basis,shares_yrs,share_cap,shares_transfer_yn,shares_owner,share_management,share_new_entrants,shares_notes,source,notes,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species13,Species14,Species15,Species16,Species17,Species18,Species19,Species20,Species21,Species22,Species23,Species24,Species25,Species26,Species27,Species28
SAFMC / GMFMC,SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic,King mackerel - Gulf of Mexico,King mackerel - Gulf of Mexico,Scomberomorus cavalla,ZJK,,y,,y,,,,,,"Western (40%), Northern (18%), Southern (42%)",,,explicit,"recreational (68%), commercial (32%)",1979-1985,catch,Years between 1979-1985 with both rec and com catch data,,"handline (50%), gillnet (50%)",,Southern Zone only,,,,,,,y,,other,1975-1979,,y,individual,,,,,"commercial recreational allocation still matches Amendment 1, 1985, using 1975-1979 landings. regional/gear allocations based on trying to balance historical landings and continued access for multiple user groups",Scomberomorus cavalla,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC / GMFMC,SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic,King mackerel - Southern Atlantic Coast,King mackerel - Southern Atlantic Coast,Scomberomorus cavalla,ZJK,,y,,y,,,,,,"Northern Zone (23.04%), Southern Zone (76.96%)",,,explicit,"recreational (62.9%), commercial (37.1%)",1979-1985,catch,Years between 1979-1985 with both rec and com catch data,,,,,,,,"Season 1 (60%), Season 2 (40%)",,,y,,other,1975-1979,,y,individual,,,,,"commercial recreational allocation still matches Amendment 1, 1985, using 1975-1979 landings. regional/gear allocations based on trying to balance historical landings and continued access for multiple user groups",Scomberomorus cavalla,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico Mackerels Complex,Mackerels Complex - Puerto Rico,"Scomberomorus cavalla, Scomberomorus regalis",ZJK,,n,,y,,,,,,,,,implicit,"commercial (64.3%), recreational (35.7%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Scomberomorus cavalla,Scomberomorus regalis,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC / GMFMC,SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic,Spanish mackerel - Gulf of Mexico,Spanish mackerel - Gulf of Mexico,Scomberomorus maculatus,ZJK,,y,,y,,,,,,,,,explicit,"commercial (57%), recreational (43%)",1979-1985,,,,,,,,,,,,,,,historical,,,,,,,,,commercial recreational allocation has been revisited but maintained,Scomberomorus maculatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC / GMFMC,SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic,Spanish mackerel - Southern Atlantic Coast,Spanish mackerel - Southern Atlantic Coast,Scomberomorus maculatus,ZJK,,y,,y,,,,,,,,,explicit,"commercial (55%), recreational (45%)","1979-1985, but updated",,,,,,,,,,,,,,,historical,,,,,,,,,"commercial recreational allocation subjectively set with the intention of having both sectors hit ACL. not specifically based on any years currently. in the past, it was based on 1979-1985 landings, and more recently on 50/50 split",Scomberomorus maculatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast Multispecies,Windowpane - Gulf of Maine / Georges Bank,Windowpane - Gulf of Maine / Georges Bank,Scophthalmus aquosus,ZJK,,n,no targetted fishery,y,,,,,,,,,,,,,,,,,,,set aside allocation for non-directed fisheries and other untracked subcomponents (recreational if no formal rec allocation),,,,,,,,,,,,,,,New England Multispecies Sectors Catch Share (2010) https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/sector-management-northeast-multispecies-fishery ,,Scophthalmus aquosus,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast Multispecies,Windowpane - Southern New England / Mid-Atlantic,Windowpane - Southern New England / Mid-Atlantic,Scophthalmus aquosus,ZJK,,n,no targetted fishery,y,,,,,,,,,,,,,,,,,,,set aside allocation for non-directed fisheries and other untracked subcomponents (recreational if no formal rec allocation),,,,,,,,,,,,,,,New England Multispecies Sectors Catch Share (2010) https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/sector-management-northeast-multispecies-fishery ,,Scophthalmus aquosus,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Groundfish,Cabezon - California,Cabezon - California,Scorpaenichthys marmoratus,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scorpaenichthys marmoratus,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Groundfish,Cabezon - Oregon,Cabezon - Oregon,Scorpaenichthys marmoratus,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scorpaenichthys marmoratus,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Groundfish,California scorpionfish - Southern California,California scorpionfish - Southern California,Scorpaoides xanthodes,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scorpaoides xanthodes,,,,,,,,,,,,,,,,,,,,,,,,,,,
