council,council_lead,fmp,stock_orig,stock,species,completed_by,QC_by,FSSI_yn,prohibited_yn,allocation_yn,country_list,country_notes,state_list,state_yrs,state_notes,area_list,area_yrs,area_notes,sector_type,sector_list,sector_yrs,sector_basis,sector_notes,subsector_list_rec,subsector_list_comm,subsector_yrs,subsector_notes,rsa_notes,bycatch_notes,effort_alloc_notes,season_list,season_yrs,season_notes,shares_yn,shares_start_yr,shares_basis,shares_yrs,share_cap,shares_transfer_yn,shares_owner,share_management,share_new_entrants,shares_notes,source,notes,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species13,Species14,Species15,Species16,Species17,Species18,Species19,Species20,Species21,Species22,Species23,Species24,Species25,Species26,Species27,Species28
WPFMC,WPFMC,Pacific Remote Island Areas Ecosystem,Pacific Remote Island Areas Coral Reef Ecosystem Multi-species Complex,Coral Reef Ecosystem Multi-species Complex - Pacific Remote Island Areas,NA,CMF,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Croix in the EEZ,STC dolphin,Dolphin - St. Croix,NA,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,STT/STJ dolphin,Dolphin - St. Thomas / St. John,NA,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Pacific Remote Island Areas Ecosystem,Pacific Remote Island Areas Exploratory Area Precious Coral Complex,Exploratory Area Precious Coral Complex - Pacific Remote Island Areas,NA,CMF,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Pacific Other Tuna Relatives Complex,Other Tuna Relatives Complex - Pacific,NA,CMF,,n,,y,"US, Pacific countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Hawaii Archipelago Ecosystem,180 Fathom Bank Precious Coral Complex,Precious Coral Complex - 180 Fathom Bank,NA,CMF,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Hawaii Archipelago Ecosystem,Brooks Bank Precious Coral Complex,Precious Coral Complex - Brooks Bank,NA,CMF,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Hawaii Archipelago Ecosystem,Hawaiian Archipelago Exploratory Area Precious Coral Complex,Precious Coral Complex - Hawaiian Archipelago Exploratory Area,NA,CMF,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Hawaii Archipelago Ecosystem,Kaena Point Bed Precious Coral Complex,Precious Coral Complex - Kaena Point Bed,NA,CMF,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Hawaii Archipelago Ecosystem,Keahole Bed Precious Coral Complex,Precious Coral Complex - Keahole Bed,NA,CMF,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Hawaii Archipelago Ecosystem,Westpac Bed Refugium- Precious Corals Complex,Precious Corals Complex - Westpac Bed Refugium,NA,CMF,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Hawaii Archipelago Ecosystem,Makapu'u Bed Precious Corals Multi- species Complex,Precious Corals Multi-species Complex - Makapu'u Bed ,NA,CMF,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Pelagic Sargassum Habitat of the South Atlantic Region,Sargassum - Southern Atlantic Coast,Sargassum - Southern Atlantic Coast,NA,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMFMC,GMFMC,Coral and Coral Reefs of the Gulf of Mexico,Sea fans (Gorgonia spp.) - Gulf of Mexico,Sea fans (Gorgonia spp.) - Gulf of Mexico,NA,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Lemon shark - Atlantic and Gulf of Mexico,Lemon shark - Atlantic and Gulf of Mexico,Negaprion brevirostris,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negaprion brevirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Hawaii Archipelago Ecosystem,Hancock Seamount Groundfish Complex,Groundfish Complex - Hancock Seamount,"Neocyttus rhomboidalis, Beryx splendens",CMF,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neocyttus rhomboidalis,Beryx splendens,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,"Coral, Coral Reefs and Live/Hard Bottom Habitats of the South Atlantic Region",Soft corals (Octocorallia) - Southern Atlantic Coast,Soft corals (Octocorallia) - Southern Atlantic Coast,Octocorallia,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Octocorallia,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Gulf of Alaska,Gulf of Alaska Octopus Complex,Octopus Complex - Gulf of Alaska,"Octopus californicus, Enteroctopus dofleini, Octopus rubescens, Benthoctopus leioderma, Opisthoteuthis californiana, Japetella diaphana, Vampyroteuthis infernalis",ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Octopus californicus,Enteroctopus dofleini,Octopus rubescens,Benthoctopus leioderma,Opisthoteuthis californiana,Japetella diaphana,Vampyroteuthis infernalis,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico yellowtail snapper,Yellowtail snapper - Puerto Rico,Ocyurus chrysurus,ZJK,,n,,y,,,,,,,,,implicit,"commercial (93%), recreational (7%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Ocyurus chrysurus,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC / GMFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico,Yellowtail snapper - Southern Atlantic Coast / Gulf of Mexico,Yellowtail snapper - Southern Atlantic Coast / Gulf of Mexico,Ocyurus chrysurus,ZJK,,y,,y,,,,,,"South Atlantic (75%), Gulf of Mexico (25%)","1993-2008, 2006-2008",,explicit,"commercial (52.56%), recreational (47.44%)","1986-2008, 2006-2008",catch,South Atlantic only,,,,,,,,,,,,,historical,,,NA,NA,,,,https://safmc.net/documents/sg_a3b_amendment44workingdraftamendment_202306-pdf/,"sector allocations only in South Atlantic; jurisdictional and sector allocations use same formula, but different input years",Ocyurus chrysurus,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Croix in the EEZ,STC yellowtail snapper,Yellowtail snapper - St. Croix,Ocyurus chrysurus,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Ocyurus chrysurus,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,STT/STJ yellowtail snapper,Yellowtail snapper - St. Thomas / St. John,Ocyurus chrysurus,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Ocyurus chrysurus,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Pink salmon - Puget Sound,Pink salmon - Puget Sound,Oncorhynchus gorbuscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus gorbuscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Oregon Production Index Area: Central California Coast,Coho salmon - Oregon Production Index Area: Central California Coast,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Oregon Production Index Area: Columbia River Early Hatchery,Coho salmon - Oregon Production Index Area: Columbia River Early Hatchery,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Oregon Production Index Area: Columbia River Late Hatchery,Coho salmon - Oregon Production Index Area: Columbia River Late Hatchery,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Oregon Production Index Area: Lower Columbia Natural,Coho salmon - Oregon Production Index Area: Lower Columbia Natural,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Oregon Production Index Area: Oregon Coast Hatchery,Coho salmon - Oregon Production Index Area: Oregon Coast Hatchery,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Oregon Production Index Area: Oregon Coast Natural,Coho salmon - Oregon Production Index Area: Oregon Coast Natural,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Oregon Production Index Area: Southern Oregon/Northern California Coast,Coho salmon - Oregon Production Index Area: Southern Oregon/Northern California Coast,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Puget Sound: Hood Canal,Coho salmon - Puget Sound: Hood Canal,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Puget Sound: Skagit,Coho salmon - Puget Sound: Skagit,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Puget Sound: Snohomish,Coho salmon - Puget Sound: Snohomish,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Puget Sound: South Puget Sound Hatchery,Coho salmon - Puget Sound: South Puget Sound Hatchery,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Puget Sound: Stillaguamish,Coho salmon - Puget Sound: Stillaguamish,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Grays Harbor,Coho salmon - Washington Coast: Grays Harbor,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Hoh,Coho salmon - Washington Coast: Hoh,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Queets,Coho salmon - Washington Coast: Queets,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Quillayute Fall,Coho salmon - Washington Coast: Quillayute Fall,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Quillayute Summer Hatchery,Coho salmon - Washington Coast: Quillayute Summer Hatchery,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Quinault Hatchery,Coho salmon - Washington Coast: Quinault Hatchery,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Strait of Juan de Fuca,Coho salmon - Washington Coast: Strait of Juan de Fuca,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Willapa Bay Hatchery,Coho salmon - Washington Coast: Willapa Bay Hatchery,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Coho salmon - Washington Coast: Willapa Bay Natural,Coho salmon - Washington Coast: Willapa Bay Natural,Oncorhynchus kisutch,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Salmon Fisheries in the EEZ off the Coast of Alaska,Alaska Coho Salmon Assemblage,Coho Salmon Assemblage - Alaska,Oncorhynchus kisutch,ZJK,,n,,y,CA; US,,,,,,,,,,,,,,Purse seine; drift gillnets; set gillnets; troll,1971-1980,,,,,,,,,,,,,,,,,,,"most fishing happens within state waters, managed by the Alaska Board of Fisheries and ADF&G",Oncorhynchus kisutch,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - California Central Valley: Sacramento River Fall,Chinook salmon - California Central Valley: Sacramento River Fall,Oncorhynchus tshawytscha,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - California Central Valley: Sacramento River Spring,Chinook salmon - California Central Valley: Sacramento River Spring,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - California Central Valley: Sacramento River Winter,Chinook salmon - California Central Valley: Sacramento River Winter,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Lower River Hatchery Fall,Chinook salmon - Columbia River Basin: Lower River Hatchery Fall,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Lower River Hatchery Spring,Chinook salmon - Columbia River Basin: Lower River Hatchery Spring,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Mid-River Bright Hatchery Fall,Chinook salmon - Columbia River Basin: Mid-River Bright Hatchery Fall,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: North Lewis River Fall,Chinook salmon - Columbia River Basin: North Lewis River Fall,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Snake River Fall,Chinook salmon - Columbia River Basin: Snake River Fall,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Snake River Spring/Summer,Chinook salmon - Columbia River Basin: Snake River Spring/Summer,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Spring Creek Hatchery Fall,Chinook salmon - Columbia River Basin: Spring Creek Hatchery Fall,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Upper River Bright Fall,Chinook salmon - Columbia River Basin: Upper River Bright Fall,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Upper River Spring,Chinook salmon - Columbia River Basin: Upper River Spring,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Upper River Summer,Chinook salmon - Columbia River Basin: Upper River Summer,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Columbia River Basin: Upper Willamette Spring,Chinook salmon - Columbia River Basin: Upper Willamette Spring,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Salmon Fisheries in the EEZ off the Coast of Alaska,Chinook salmon - Eastern North Pacific Far North Migrating,Chinook salmon - Eastern North Pacific Far North Migrating,Oncorhynchus tshawytscha,ZJK,,n,,y,CA; US,,,,,,,,,Rec; com,,,,,Purse seine; drift gillnets; set gillnets; troll,,,,,,,,,,,,,,,,,,,,"most fishing happens within state waters, managed by the Alaska Board of Fisheries and ADF&G",Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Northern California Coast: California Coastal,Chinook salmon - Northern California Coast: California Coastal,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Northern California Coast: Klamath River Fall,Chinook salmon - Northern California Coast: Klamath River Fall,Oncorhynchus tshawytscha,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Northern California Coast: Klamath River Spring,Chinook salmon - Northern California Coast: Klamath River Spring,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Northern California Coast: Smith River,Chinook salmon - Northern California Coast: Smith River,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Oregon Coast: Central and Northern Oregon,Chinook salmon - Oregon Coast: Central and Northern Oregon,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Oregon Coast: Southern Oregon,Chinook salmon - Oregon Coast: Southern Oregon,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Cedar River Summer/Fall,Chinook salmon - Puget Sound: Cedar River Summer/Fall,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Eastern Strait of Juan de Fuca Summer/Fall,Chinook salmon - Puget Sound: Eastern Strait of Juan de Fuca Summer/Fall,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Green River Summer/Fall,Chinook salmon - Puget Sound: Green River Summer/Fall,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Mid Hood Canal Summer/Fall,Chinook salmon - Puget Sound: Mid Hood Canal Summer/Fall,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Nisqually River Summer/Fall,Chinook salmon - Puget Sound: Nisqually River Summer/Fall,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Nooksack Spring Early,Chinook salmon - Puget Sound: Nooksack Spring Early,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Puyallup Summer/Fall,Chinook salmon - Puget Sound: Puyallup Summer/Fall,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Skagit Spring,Chinook salmon - Puget Sound: Skagit Spring,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Skagit Summer/Fall,Chinook salmon - Puget Sound: Skagit Summer/Fall,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Salmon,Chinook salmon - Puget Sound: Skokomish Summer/Fall,Chinook salmon - Puget Sound: Skokomish Summer/Fall,Oncorhynchus tshawytscha,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncorhynchus tshawytscha,,,,,,,,,,,,,,,,,,,,,,,,,,,
